trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
87,False,"{'a': 0.001, 'e': 0.9175942312201509}",20,0,-75.4226901689108,"{0: 15, 1: 2, 2: 0, 3: 2, 4: 1}",0
88,False,"{'a': 0.001, 'e': 0.9166770956331523}",30,2,-126.80542301631414,"{0: 17, 1: 5, 2: 3, 3: 1, 4: 2}",1
89,False,"{'a': 0.001, 'e': 0.9157608767233256}",25,8,-128.62480606731265,"{0: 9, 1: 1, 2: 4, 3: 1, 4: 2}",1
90,False,"{'a': 0.001, 'e': 0.914845573574452}",20,0,-171.50023718305596,"{0: 7, 1: 3, 2: 6, 3: 3, 4: 1}",0
91,False,"{'a': 0.001, 'e': 0.9139311852712282}",20,0,-71.20143995919658,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
92,False,"{'a': 0.001, 'e': 0.9130177108992658}",25,0,-165.38550441991967,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
93,False,"{'a': 0.001, 'e': 0.9121051495450904}",20,0,-89.34367095110912,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
94,False,"{'a': 0.001, 'e': 0.9111935002961405}",20,0,-81.14755930395789,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
95,False,"{'a': 0.001, 'e': 0.910282762240767}",30,0,-146.7505567386585,"{0: 19, 1: 5, 2: 2, 3: 2, 4: 2}",0
96,False,"{'a': 0.001, 'e': 0.9093729344682314}",25,0,-125.01703217962216,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
97,False,"{'a': 0.001, 'e': 0.9084640160687062}",20,0,-104.47469924039633,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
98,False,"{'a': 0.001, 'e': 0.9075560061332727}",25,0,-78.8370959483196,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
99,False,"{'a': 0.001, 'e': 0.9066489037539209}",20,0,-131.7218915527474,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
100,False,"{'a': 0.001, 'e': 0.9057427080235485}",20,0,-101.07053569055107,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
101,False,"{'a': 0.001, 'e': 0.9048374180359595}",20,0,-60.15553571798603,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
102,False,"{'a': 0.001, 'e': 0.9039330328858641}",20,0,-134.43427920870676,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
103,False,"{'a': 0.001, 'e': 0.9030295516688768}",35,0,-318.73172038121476,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 6}",0
104,False,"{'a': 0.001, 'e': 0.9021269734815165}",25,0,-157.99031792611163,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
105,False,"{'a': 0.001, 'e': 0.9012252974212047}",20,0,-110.32118524908876,"{0: 8, 1: 6, 2: 5, 3: 0, 4: 1}",0
106,False,"{'a': 0.001, 'e': 0.9003245225862656}",30,13,-69.84276715178983,"{0: 10, 1: 2, 2: 2, 3: 3, 4: 0}",1
107,False,"{'a': 0.001, 'e': 0.899424648075924}",25,0,-154.58023539941877,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
108,False,"{'a': 0.001, 'e': 0.8985256729903055}",30,0,-108.15238337700512,"{0: 16, 1: 7, 2: 5, 3: 2, 4: 0}",0
109,False,"{'a': 0.001, 'e': 0.8976275964304349}",25,0,-194.34785178877604,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 4}",0
110,False,"{'a': 0.001, 'e': 0.8967304174982355}",25,9,-129.72139576173845,"{0: 7, 1: 2, 2: 5, 3: 0, 4: 2}",1
111,False,"{'a': 0.001, 'e': 0.8958341352965282}",20,15,-2.454041393748885,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.001, 'e': 0.894938748929031}",25,0,-268.53852069200485,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 5}",1
113,False,"{'a': 0.001, 'e': 0.8940442575003572}",25,0,-107.62158767789303,"{0: 18, 1: 3, 2: 0, 3: 2, 4: 2}",0
114,False,"{'a': 0.001, 'e': 0.8931506601160155}",20,0,-113.38479542842367,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
115,False,"{'a': 0.001, 'e': 0.8922579558824083}",25,0,-90.05594311099266,"{0: 17, 1: 4, 2: 1, 3: 2, 4: 1}",0
116,False,"{'a': 0.001, 'e': 0.8913661439068313}",35,0,-82.81903245686075,"{0: 27, 1: 1, 2: 5, 3: 1, 4: 1}",0
117,False,"{'a': 0.001, 'e': 0.8904752232974726}",20,5,-72.26618493670698,"{0: 7, 1: 2, 2: 5, 3: 1, 4: 0}",1
118,False,"{'a': 0.001, 'e': 0.8895851931634113}",25,13,-31.237721687745235,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 0}",1
119,False,"{'a': 0.001, 'e': 0.8886960526146174}",25,0,-103.75547748318755,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
120,False,"{'a': 0.001, 'e': 0.8878078007619501}",25,0,-148.63701282557278,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
121,False,"{'a': 0.001, 'e': 0.8869204367171575}",30,3,-102.0921435392485,"{0: 18, 1: 2, 2: 5, 3: 1, 4: 1}",1
122,False,"{'a': 0.001, 'e': 0.8860339595928756}",35,7,-59.36535535769413,"{0: 18, 1: 5, 2: 4, 3: 1, 4: 0}",1
123,False,"{'a': 0.001, 'e': 0.8851483685026271}",20,0,-62.618342854292166,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
124,False,"{'a': 0.001, 'e': 0.8842636625608209}",25,0,-237.4576495603025,"{0: 10, 1: 7, 2: 2, 3: 2, 4: 4}",0
125,False,"{'a': 0.001, 'e': 0.8833798408827509}",20,0,-16.922725901486746,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 0}",0
126,False,"{'a': 0.001, 'e': 0.8824969025845955}",25,0,-160.6874701141131,"{0: 15, 1: 5, 2: 1, 3: 1, 4: 3}",0
127,False,"{'a': 0.001, 'e': 0.8816148467834161}",20,0,-145.06193466941406,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
128,False,"{'a': 0.001, 'e': 0.880733672597157}",35,0,-173.8337707443452,"{0: 25, 1: 0, 2: 6, 3: 1, 4: 3}",0
129,False,"{'a': 0.001, 'e': 0.8798533791446438}",25,0,-157.63031614815677,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
130,False,"{'a': 0.001, 'e': 0.8789739655455832}",20,0,-133.9380069277648,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 2}",0
131,False,"{'a': 0.001, 'e': 0.8780954309205613}",20,0,-62.92651580498363,"{0: 14, 1: 4, 2: 0, 3: 1, 4: 1}",0
132,False,"{'a': 0.001, 'e': 0.8772177743910435}",20,0,-29.841070607931073,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
133,False,"{'a': 0.001, 'e': 0.8763409950793732}",20,0,-86.9916974926388,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
134,False,"{'a': 0.001, 'e': 0.8754650921087711}",20,0,-70.35172400739287,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
135,False,"{'a': 0.001, 'e': 0.874590064603334}",20,3,-20.670731145407533,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 0}",1
136,False,"{'a': 0.001, 'e': 0.8737159116880344}",20,0,-188.1221005798743,"{0: 9, 1: 0, 2: 6, 3: 3, 4: 2}",0
137,False,"{'a': 0.001, 'e': 0.8728426324887193}",20,0,-149.4911080359064,"{0: 8, 1: 5, 2: 5, 3: 0, 4: 2}",0
138,False,"{'a': 0.001, 'e': 0.8719702261321094}",25,0,-172.86503959032996,"{0: 17, 1: 0, 2: 3, 3: 2, 4: 3}",0
139,False,"{'a': 0.001, 'e': 0.8710986917457983}",35,0,-193.06915232194564,"{0: 23, 1: 1, 2: 6, 3: 2, 4: 3}",0
140,False,"{'a': 0.001, 'e': 0.8702280284582515}",25,0,-200.8334911212624,"{0: 14, 1: 3, 2: 2, 3: 3, 4: 3}",0
141,False,"{'a': 0.001, 'e': 0.8693582353988059}",20,0,-124.86245464209853,"{0: 8, 1: 3, 2: 8, 3: 0, 4: 1}",0
142,False,"{'a': 0.001, 'e': 0.8684893116976679}",25,0,-172.27953878260072,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
143,False,"{'a': 0.001, 'e': 0.867621256485914}",20,0,-110.28879277540071,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
144,False,"{'a': 0.001, 'e': 0.8667540688954889}",20,0,-145.72451303094732,"{0: 11, 1: 3, 2: 1, 3: 3, 4: 2}",0
145,False,"{'a': 0.001, 'e': 0.865887748059205}",20,0,-158.96282331291695,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
146,False,"{'a': 0.001, 'e': 0.8650222931107413}",20,0,-39.620119583561724,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
147,False,"{'a': 0.001, 'e': 0.8641577031846428}",20,0,-74.7168551157496,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
148,False,"{'a': 0.001, 'e': 0.8632939774163194}",20,0,-156.26501890715292,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
149,False,"{'a': 0.001, 'e': 0.8624311149420455}",20,0,-26.718002939439188,"{0: 16, 1: 2, 2: 0, 3: 2, 4: 0}",0
150,False,"{'a': 0.001, 'e': 0.8615691148989583}",30,0,-173.70952639952682,"{0: 15, 1: 3, 2: 8, 3: 3, 4: 1}",0
151,False,"{'a': 0.001, 'e': 0.8607079764250578}",20,0,-67.21915190455842,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
152,False,"{'a': 0.001, 'e': 0.8598476986592055}",25,0,-64.16290885655015,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
153,False,"{'a': 0.001, 'e': 0.8589882807411234}",25,0,-135.94408144381958,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
154,False,"{'a': 0.001, 'e': 0.8581297218113938}",20,15,6.012861479800545,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.001, 'e': 0.8572720210114575}",25,0,-44.96075694588758,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
156,False,"{'a': 0.001, 'e': 0.8564151774836135}",25,2,-131.13968459963647,"{0: 12, 1: 2, 2: 6, 3: 2, 4: 1}",1
157,False,"{'a': 0.001, 'e': 0.8555591903710185}",25,0,-196.37618085904228,"{0: 13, 1: 2, 2: 4, 3: 4, 4: 2}",0
158,False,"{'a': 0.001, 'e': 0.8547040588176851}",20,0,-123.0631509401178,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",1
159,False,"{'a': 0.001, 'e': 0.8538497819684817}",20,0,-170.15115372210525,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 3}",0
160,False,"{'a': 0.001, 'e': 0.8529963589691315}",20,0,-71.76994303713417,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
161,False,"{'a': 0.001, 'e': 0.8521437889662113}",30,0,-114.23306411812446,"{0: 19, 1: 6, 2: 2, 3: 2, 4: 1}",0
162,False,"{'a': 0.001, 'e': 0.8512920711071511}",20,1,-13.665418695942833,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 0}",1
163,False,"{'a': 0.001, 'e': 0.850441204540233}",25,0,-49.013059685959355,"{0: 18, 1: 3, 2: 2, 3: 2, 4: 0}",0
164,False,"{'a': 0.001, 'e': 0.8495911884145902}",30,0,-164.8478487669008,"{0: 19, 1: 2, 2: 4, 3: 3, 4: 2}",0
165,False,"{'a': 0.001, 'e': 0.8487420218802068}",20,0,-122.04214826165563,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",1
166,False,"{'a': 0.001, 'e': 0.8478937040879159}",20,7,-16.997958767498194,"{0: 10, 1: 2, 2: 0, 3: 1, 4: 0}",1
167,False,"{'a': 0.001, 'e': 0.8470462341893996}",25,0,-103.86822213552364,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
168,False,"{'a': 0.001, 'e': 0.8461996113371882}",30,7,-197.59371923549443,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 3}",1
169,False,"{'a': 0.001, 'e': 0.8453538346846587}",20,0,-33.01632454009319,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
170,False,"{'a': 0.001, 'e': 0.8445089033860343}",25,0,-152.1931567043226,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
171,False,"{'a': 0.001, 'e': 0.8436648165963837}",25,0,-109.0062795039468,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
172,False,"{'a': 0.001, 'e': 0.8428215734716199}",25,8,-69.26087533318073,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 1}",1
173,False,"{'a': 0.001, 'e': 0.8419791731684999}",20,0,-195.25536515130767,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 4}",0
174,False,"{'a': 0.001, 'e': 0.8411376148446232}",20,0,-163.7681365622425,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 2}",0
175,False,"{'a': 0.001, 'e': 0.8402968976584314}",20,0,-113.5039129647219,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
176,False,"{'a': 0.001, 'e': 0.8394570207692074}",30,6,-53.654202348501926,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 1}",1
